"Num","Title","Slug","OK","Empty","Missing","Overview"
"169","How to Start a Business in Africa","how-to-start-a-business-in-africa","0","0","12","BAD"
"170","Mushroom Seed (Spawn) Production Business","mushroom-seed-spawn-production-business","0","0","12","BAD"
"171","Brick Making Business with Bank and Mobile Money Integration","brick-making-business-with-bank-and-mobile-money-integration","0","0","12","BAD"
"167","Petrol and Diesel Engine Fundamentals: 0 to 12 Litres","petrol-and-diesel-engine-fundamentals-0-to-12-litres","0","0","12","BAD"
"168","Convert a Car Engine to an Irrigation Water Pump","convert-a-car-engine-to-an-irrigation-water-pump","0","0","12","BAD"
"141","Barbering &amp; Men's Grooming Business","barbering-amp-men-s-grooming-business","0","0","12","BAD"
"142","Hair Salon and Beauty Business","hair-salon-and-beauty-business","0","0","12","BAD"
"143","Social Media Influencer Business","social-media-influencer-business","0","0","12","BAD"
"144","DJ and Event Entertainment Business","dj-and-event-entertainment-business","0","0","12","BAD"
"145","Agricultural Produce Sourcing Business","agricultural-produce-sourcing-business","0","0","12","BAD"
"146","Sourcing and Reselling Business","sourcing-and-reselling-business","0","0","12","BAD"
"147","Basic First Aid for Business and Community","basic-first-aid-for-business-and-community","0","0","12","BAD"
"148","Massage and Spa Home Visit Business","massage-and-spa-home-visit-business","0","0","12","BAD"
"149","Errands and Personal Assistant Service","errands-and-personal-assistant-service","0","0","12","BAD"
"150","Crisis Response for Underserved Communities","crisis-response-for-underserved-communities","0","0","12","BAD"
"151","Home and Office Cleaning Business","home-and-office-cleaning-business","0","0","12","BAD"
"152","Car Washing and Detailing Business","car-washing-and-detailing-business","0","0","12","BAD"
"153","Pest Control Business (Basic to Medium)","pest-control-business-basic-to-medium","0","0","12","BAD"
"154","Event Services Business (Planning and Decor)","event-services-business-planning-and-decor","0","0","12","BAD"
"155","Recycling and Green Business","recycling-and-green-business","0","0","12","BAD"
"156","Transport and Logistics Business","transport-and-logistics-business","0","0","12","BAD"
"157","Herbal and Natural Skincare Products","herbal-and-natural-skincare-products","0","0","12","BAD"
"158","Education and Training Business","education-and-training-business","0","0","12","BAD"
"159","Small Kiosk and Tuck Shop Business","small-kiosk-and-tuck-shop-business","0","0","12","BAD"
"160","Reselling on Social Media Platforms","reselling-on-social-media-platforms","0","0","12","BAD"
"161","Tech and Digital Services Business","tech-and-digital-services-business","0","0","12","BAD"
"162","Second-Hand / Thrift Shop Business (Okrika)","second-hand-thrift-shop-business-okrika","0","0","12","BAD"
"163","Home-Based Catering for Small Events","home-based-catering-for-small-events","0","0","12","BAD"
