"Num","Title","Slug","ModulesFound"
"169","How to Start a Business in Africa","how-to-start-a-business-in-africa","0"
"170","Mushroom Seed (Spawn) Production Business","mushroom-seed-spawn-production-business","0"
"171","Brick Making Business with Bank and Mobile Money Integration","brick-making-business-with-bank-and-mobile-money-integration","0"
"167","Petrol and Diesel Engine Fundamentals: 0 to 12 Litres","petrol-and-diesel-engine-fundamentals-0-to-12-litres","0"
"168","Convert a Car Engine to an Irrigation Water Pump","convert-a-car-engine-to-an-irrigation-water-pump","0"
"141","Barbering &amp; Men's Grooming Business","barbering-amp-men-s-grooming-business","0"
"142","Hair Salon and Beauty Business","hair-salon-and-beauty-business","0"
"143","Social Media Influencer Business","social-media-influencer-business","0"
"144","DJ and Event Entertainment Business","dj-and-event-entertainment-business","0"
"145","Agricultural Produce Sourcing Business","agricultural-produce-sourcing-business","0"
"146","Sourcing and Reselling Business","sourcing-and-reselling-business","0"
"147","Basic First Aid for Business and Community","basic-first-aid-for-business-and-community","0"
"148","Massage and Spa Home Visit Business","massage-and-spa-home-visit-business","0"
"149","Errands and Personal Assistant Service","errands-and-personal-assistant-service","0"
"150","Crisis Response for Underserved Communities","crisis-response-for-underserved-communities","0"
"151","Home and Office Cleaning Business","home-and-office-cleaning-business","0"
"152","Car Washing and Detailing Business","car-washing-and-detailing-business","0"
"153","Pest Control Business (Basic to Medium)","pest-control-business-basic-to-medium","0"
"154","Event Services Business (Planning and Decor)","event-services-business-planning-and-decor","0"
"155","Recycling and Green Business","recycling-and-green-business","0"
"156","Transport and Logistics Business","transport-and-logistics-business","0"
"157","Herbal and Natural Skincare Products","herbal-and-natural-skincare-products","0"
"158","Education and Training Business","education-and-training-business","0"
"159","Small Kiosk and Tuck Shop Business","small-kiosk-and-tuck-shop-business","0"
"160","Reselling on Social Media Platforms","reselling-on-social-media-platforms","0"
"161","Tech and Digital Services Business","tech-and-digital-services-business","0"
"162","Second-Hand / Thrift Shop Business (Okrika)","second-hand-thrift-shop-business-okrika","0"
"163","Home-Based Catering for Small Events","home-based-catering-for-small-events","0"
"140","Maximise 1 Hectare — Vegetables for Profit","maximise-1-hectare-vegetables-for-profit","0"
"165","Snail Farming (Heliciculture) Business","snail-farming-heliciculture-business","0"
"166","Seedling Nursery for Farmers","seedling-nursery-for-farmers","0"
"164","Fortified Corn-Soy Porridge for Malnourished Children","fortified-corn-soy-porridge-for-malnourished-children","0"
"1","Pig Farming","pig-farming","1"
"2","Pig Feed Formulation","pig-feed-formulation","0"
"3","Cattle and Steer Feed Formulation","cattle-and-steer-feed-formulation","0"
"4","Broiler and Layer Feed Formulation","broiler-and-layer-feed-formulation","0"
