"Num","Title","Slug","Got","Need"
"2","Pig Feed Formulation","pig-feed-formulation","0","12"
"3","Cattle and Steer Feed Formulation","cattle-steer-feed-formulation","0","12"
"4","Broiler and Layer Feed Formulation","broiler-layer-feed-formulation","0","12"
"5","Dog and Cat Feed Formulation","dog-cat-feed-formulation","0","12"
"6","Fish Feed Formulation","fish-feed-formulation","0","12"
"7","Bakery Business","bakery-business","0","12"
"10","Bee Farming and Honey Production","bee-farming-honey-production","0","12"
"12","Cassava Farming and Processing","cassava-farming-processing","0","12"
"15","Leather Making and Tanning","leather-making-tanning","0","12"
"17","Spices Course","spices-course","0","12"
"18","Soap Making","soap-making","6","12"
"19","Charcoal Types Course","charcoal-types-course","0","12"
"20","Meat Curing &amp; Charcuterie","meat-curing-amp-charcuterie","0","12"
"21","Aged Beef – 21 to 101 Day","aged-beef-21-to-101-day","0","12"
"22","Broiler Farming","broiler-farming","6","12"
"23","Layer Farming","layer-farming","6","12"
"24","Food Preservation (10 Methods)","food-preservation-10-methods","0","12"
"26","Solar Installation in the Community","solar-installation-in-the-community","0","12"
"27","Russian Language","russian-language","6","12"
"28","Chinese / Mandarin","chinese-language","6","12"
"29","Arabic Language","arabic-language","6","12"
"30","Swahili Language","swahili-language","6","12"
"44","Spanish Language","spanish-language","0","12"
"31","Shona Language","shona-language","0","12"
"32","Entrepreneurship","entrepreneurship","6","12"
"33","Fish Farming","fish-farming","0","12"
"34","Fish Fingerling Production","fish-fingerling-production","6","12"
"36","Tomato Farming","tomato-farming","6","12"
"37","Potato Farming","potato-farming","6","12"
"38","Onion Farming","onion-farming","6","12"
"39","Cabbage Farming","cabbage-farming","6","12"
"40","Rabbit Farming","rabbit-farming","6","12"
"42","Street Food / Take Away","street-food-take-away","0","12"
"43","Fruit Juice Making","fruit-juice-making","0","12"
"45","Solar Pump for Dam","solar-pump-for-dam","0","12"
"46","Packaging for Export Markets","packaging-for-export-markets","0","12"
"47","International Trade Basics","international-trade-basics","6","12"
"48","Irrigation Systems for Smallholds","irrigation-systems-for-smallholds","0","12"
"49","Export Standards &amp; Certification","export-standards-amp-certification","0","12"
"50","Farm Market Access &amp; Pricing","farm-market-access-amp-pricing","0","12"
"51","Business Plan Development","business-plan-development","6","12"
"52","Agricultural Cooperative Formation","agricultural-cooperative-formation","6","12"
"53","Cassava Starch Extraction","cassava-starch-extraction","6","12"
"54","Cassava Bread &amp; Baking","cassava-bread-amp-baking","0","12"
"55","AI Fundamentals","ai-fundamentals","6","12"
"56","Robotics","robotics","0","12"
"57","Drone Technology","drone-technology","0","12"
"58","Supply Chain Management","supply-chain-management","0","12"
"59","Avocado Farming","avocado-farming","6","12"
"60","Banana Farming","banana-farming","6","12"
"61","Crocodile Farming","crocodile-farming","6","12"
"62","Duck Farming","duck-farming","6","12"
"63","Guinea Fowl &amp; Quail Farming","guinea-fowl-amp-quail-farming","0","12"
"64","Grafting, Budding &amp; Orchards","grafting-budding-amp-orchards","0","12"
"65","Grasscutter Farming","grasscutter-farming","6","12"
"66","Citrus Farming","citrus-farming","6","12"
"67","Tropical Fruit Farming","tropical-fruit-farming","6","12"
"68","Ostrich Farming","ostrich-farming","6","12"
"69","Sorghum &amp; Millet Farming","sorghum-amp-millet-farming","0","12"
"70","Soybean Farming","soybean-farming","6","12"
"71","Sunflower Farming","sunflower-farming","0","12"
"72","Silage &amp; Hay Making","silage-amp-hay-making","0","12"
"73","Sweet Potato Farming","sweet-potato-farming","6","12"
"74","Turkey Farming","turkey-farming","6","12"
"75","Yam Farming","yam-farming","6","12"
"76","Wheat &amp; Barley Farming","wheat-amp-barley-farming","0","12"
"77","Agricultural Record Keeping","agricultural-record-keeping","6","12"
"78","Project Management","project-management","6","12"
"79","Farm Labor Management","farm-labor-management","6","12"
"80","Tomato Paste &amp; Sauce","tomato-paste-amp-sauce","0","12"
"81","Medicinal &amp; Herbal Plant Cultivation","medicinal-amp-herbal-plant-cultivation","0","12"
"82","Herbal Medicine &amp; Nutraceuticals","herbal-medicine-amp-nutraceuticals","0","12"
"83","Cold Storage","cold-storage","0","12"
"84","Black Soldier Fly Larvae Farming","black-soldier-fly-larvae-farming","0","12"
"85","Brewery: Wine, Gin, Cider &amp; Beer","brewery-wine-gin-cider-amp-beer","0","12"
"86","Car Breakers &amp; Metal Scrapyard","car-breakers-amp-metal-scrapyard","0","12"
"87","Moringa Powder &amp; Supplements","moringa-powder-amp-supplements","0","12"
"88","Baobab Powder Products","baobab-powder-products","0","12"
"89","Hibiscus (Zobo/Sobolo) Drink Concentrate","hibiscus-zobo-sobolo-drink-concentrate","0","12"
"90","Ginger &amp; Turmeric Shots &amp; Teas","ginger-amp-turmeric-shots-amp-teas","0","12"
"91","Herbal Teas &amp; Infusions","herbal-teas-amp-infusions","0","12"
"92","Organic Fertilizer &amp; Compost","organic-fertilizer-amp-compost","0","12"
"93","Perfume Oils &amp; Incense","perfume-oils-amp-incense","0","12"
"94","Coconut Oil &amp; Shea Oil","coconut-oil-amp-shea-oil","0","12"
"95","Essential Oils (Lemongrass, Eucalyptus, Tea Tree)","essential-oils-lemongrass-eucalyptus-tea-tree","0","12"
"96","Cosmetics: Lip Balms, Body Butters &amp; Hair Oils","cosmetics-lip-balms-body-butters-amp-hair-oils","0","12"
"97","African Black Soap &amp; Skincare","african-black-soap-amp-skincare","0","12"
"98","Hair Care for Natural Hair","hair-care-for-natural-hair","0","12"
"99","Dried Fruit &amp; Vegetable Processing","dried-fruit-amp-vegetable-processing","0","12"
"100","Fruit Juice &amp; Concentrates","fruit-juice-amp-concentrates","0","12"
"101","Honey Processing &amp; Packaging","honey-processing-amp-packaging","0","12"
"102","Spice Blending &amp; Packaging","spice-blending-amp-packaging","0","12"
"103","Peanut Butter &amp; Nut Pastes","peanut-butter-amp-nut-pastes","0","12"
"104","Paint Manufacturing","paint-manufacturing","0","12"
"105","Brick &amp; Paver Making","brick-amp-paver-making","0","12"
"106","Fish Processing (Smoking &amp; Canning)","fish-processing-smoking-amp-canning","0","12"
"107","Bottled Water Production","bottled-water-production","0","12"
"108","Soft Drinks Production","soft-drinks-production","0","12"
"109","Distillery &amp; Spirits","distillery-amp-spirits","0","12"
"110","Breakfast Cereals","breakfast-cereals","0","12"
"111","Cooking Oil Production","cooking-oil-production","0","12"
"112","Sugar Processing","sugar-processing","0","12"
"113","Rice Milling","rice-milling","0","12"
"114","Flour Milling","flour-milling","0","12"
"115","Chocolate &amp; Candy","chocolate-amp-candy","0","12"
