2. Pig Feed Formulation  (329487 bytes on disk)
6. Fish Feed Formulation  (280756 bytes on disk)
7. Bakery Business  (319398 bytes on disk)
17. Spices Course  (313970 bytes on disk)
19. Charcoal Types Course  (322191 bytes on disk)
20. Meat Curing &amp; Charcuterie  (310401 bytes on disk)
21. Aged Beef – 21 to 101 Day  (303304 bytes on disk)
24. Food Preservation (10 Methods)  (319604 bytes on disk)
26. Solar Installation in the Community  (323212 bytes on disk)
44. Spanish Language  (305598 bytes on disk)
31. Shona Language  (254917 bytes on disk)
33. Fish Farming  (313204 bytes on disk)
42. Street Food / Take Away  (298918 bytes on disk)
43. Fruit Juice Making  (307691 bytes on disk)
45. Solar Pump for Dam  (291541 bytes on disk)
46. Packaging for Export Markets  (306779 bytes on disk)
48. Irrigation Systems for Smallholds  (310746 bytes on disk)
49. Export Standards &amp; Certification  (327163 bytes on disk)
50. Farm Market Access &amp; Pricing  (321285 bytes on disk)
54. Cassava Bread &amp; Baking  (297475 bytes on disk)
56. Robotics  (310282 bytes on disk)
57. Drone Technology  (308397 bytes on disk)
58. Supply Chain Management  (311243 bytes on disk)
63. Guinea Fowl &amp; Quail Farming  (302314 bytes on disk)
64. Grafting, Budding &amp; Orchards  (315527 bytes on disk)
69. Sorghum &amp; Millet Farming  (319806 bytes on disk)
71. Sunflower Farming  (325617 bytes on disk)
72. Silage &amp; Hay Making  (293452 bytes on disk)
76. Wheat &amp; Barley Farming  (311372 bytes on disk)
80. Tomato Paste &amp; Sauce  (313071 bytes on disk)
81. Medicinal &amp; Herbal Plant Cultivation  (309162 bytes on disk)
82. Herbal Medicine &amp; Nutraceuticals  (261706 bytes on disk)
83. Cold Storage  (331920 bytes on disk)
84. Black Soldier Fly Larvae Farming  (289275 bytes on disk)
85. Brewery: Wine, Gin, Cider &amp; Beer  (304987 bytes on disk)
86. Car Breakers &amp; Metal Scrapyard  (291809 bytes on disk)
87. Moringa Powder &amp; Supplements  (320468 bytes on disk)
88. Baobab Powder Products  (315163 bytes on disk)
89. Hibiscus (Zobo/Sobolo) Drink Concentrate  (314254 bytes on disk)
90. Ginger &amp; Turmeric Shots &amp; Teas  (287496 bytes on disk)
91. Herbal Teas &amp; Infusions  (314462 bytes on disk)
92. Organic Fertilizer &amp; Compost  (319342 bytes on disk)
93. Perfume Oils &amp; Incense  (311046 bytes on disk)
94. Coconut Oil &amp; Shea Oil  (308994 bytes on disk)
95. Essential Oils (Lemongrass, Eucalyptus, Tea Tree)  (311836 bytes on disk)
96. Cosmetics: Lip Balms, Body Butters &amp; Hair Oils  (303293 bytes on disk)
97. African Black Soap &amp; Skincare  (307216 bytes on disk)
98. Hair Care for Natural Hair  (287039 bytes on disk)
99. Dried Fruit &amp; Vegetable Processing  (270306 bytes on disk)
100. Fruit Juice &amp; Concentrates  (311040 bytes on disk)
101. Honey Processing &amp; Packaging  (311261 bytes on disk)
102. Spice Blending &amp; Packaging  (286233 bytes on disk)
103. Peanut Butter &amp; Nut Pastes  (313616 bytes on disk)
104. Paint Manufacturing  (324589 bytes on disk)
105. Brick &amp; Paver Making  (302568 bytes on disk)
106. Fish Processing (Smoking &amp; Canning)  (310735 bytes on disk)
107. Bottled Water Production  (318297 bytes on disk)
108. Soft Drinks Production  (319250 bytes on disk)
109. Distillery &amp; Spirits  (257361 bytes on disk)
110. Breakfast Cereals  (308600 bytes on disk)
111. Cooking Oil Production  (300936 bytes on disk)
112. Sugar Processing  (277200 bytes on disk)
113. Rice Milling  (294947 bytes on disk)
114. Flour Milling  (310557 bytes on disk)
115. Chocolate &amp; Candy  (305549 bytes on disk)
116. Ice Cream Production  (309881 bytes on disk)
117. Yogurt Production  (323108 bytes on disk)
118. Cement &amp; Blocks  (305426 bytes on disk)
119. Roofing Sheets  (306740 bytes on disk)
120. Tiles &amp; Ceramics  (307070 bytes on disk)
121. PVC &amp; Plumbing Pipes  (316916 bytes on disk)
122. Steel Fabrication  (295054 bytes on disk)
123. Aluminum Windows &amp; Doors  (304667 bytes on disk)
124. Glass Processing  (296200 bytes on disk)
125. Furniture Manufacturing  (307959 bytes on disk)
126. Solar Panel Assembly  (311976 bytes on disk)
127. Solar Inverters &amp; Batteries  (311065 bytes on disk)
128. Briquettes &amp; Pellets  (324425 bytes on disk)
129. Biogas Systems  (335518 bytes on disk)
130. Auto Parts &amp; Assembly  (296121 bytes on disk)
131. EV Motorbike Assembly  (271536 bytes on disk)
132. Electronics Assembly  (316086 bytes on disk)
133. Packaging Materials  (287505 bytes on disk)
134. Detergents Manufacturing  (323821 bytes on disk)
135. Pharmaceuticals  (327022 bytes on disk)
136. Sanitary Pads  (324591 bytes on disk)
137. Tissues &amp; Paper Products  (313600 bytes on disk)
138. Fertilizer Blending  (305813 bytes on disk)
139. Pesticides &amp; Agrochemicals  (313506 bytes on disk)
