"Num","Title","Category","File","Exists"
"1","Pig Farming","AGRICULTURE","course.html?f=pig-farming-course","MISSING"
"2","Pig Feed Formulation","AGRICULTURE","course.html?f=pig-feed-formulation-course","MISSING"
"3","Cattle and Steer Feed Formulation","AGRICULTURE","course.html?f=cattle-steer-feed-formulation-course","MISSING"
"4","Broiler and Layer Feed Formulation","AGRICULTURE","course.html?f=broiler-layer-feed-formulation-course","MISSING"
"5","Dog and Cat Feed Formulation","AGRICULTURE","course.html?f=dog-cat-feed-formulation-course","MISSING"
"6","Fish Feed Formulation","AGRICULTURE","course.html?f=fish-feed-formulation-course","MISSING"
"7","Bakery Business","FOOD PROCESSING","course.html?f=bakery-business-course","MISSING"
"8","Butchery","FOOD PROCESSING","course.html?f=butchery-course","MISSING"
"9","Steer Fattening","AGRICULTURE","course.html?f=steer-fattening-course","MISSING"
"10","Bee Farming and Honey Production","AGRICULTURE","course.html?f=bee-farming-honey-production-course","MISSING"
"11","Mushroom Farming","AGRICULTURE","course.html?f=mushroom-farming-course","MISSING"
"12","Cassava Farming and Processing","AGRICULTURE","course.html?f=cassava-farming-processing-course","MISSING"
"13","Dairy Production","AGRICULTURE","course.html?f=dairy-production-course","MISSING"
"14","Cattle Farming","AGRICULTURE","course.html?f=cattle-farming-course","MISSING"
"15","Leather Making and Tanning","VOCATIONAL","course.html?f=leather-making-tanning-course","MISSING"
"16","Jam Making","COTTAGE INDUSTRY","course.html?f=jam-making-course","MISSING"
"17","Spices Course","FOOD PROCESSING","course.html?f=spices-course-course","MISSING"
"18","Soap Making","COTTAGE INDUSTRY","course.html?f=soap-making-course","MISSING"
"19","Charcoal Types Course","ENERGY","course.html?f=charcoal-types-course-course","MISSING"
"20","Meat Curing &amp; Charcuterie","VOCATIONAL","course.html?f=meat-curing-amp-charcuterie-course","MISSING"
"21","Aged Beef – 21 to 101 Day","VOCATIONAL","course.html?f=aged-beef-21-to-101-day-course","MISSING"
"22","Broiler Farming","AGRICULTURE","course.html?f=broiler-farming-course","MISSING"
"23","Layer Farming","AGRICULTURE","course.html?f=layer-farming-course","MISSING"
"24","Food Preservation (10 Methods)","FOOD PRESERVATION","course.html?f=food-preservation-10-methods-course","MISSING"
"25","Goat Farming","AGRICULTURE","course.html?f=goat-farming-course","MISSING"
"26","Solar Installation in the Community","ENERGY","course.html?f=solar-installation-in-the-community-course","MISSING"
"27","Russian Language","LANGUAGES","course.html?f=russian-language-course","MISSING"
"28","Chinese / Mandarin","LANGUAGES","course.html?f=chinese-language-course","MISSING"
"29","Arabic Language","LANGUAGES","course.html?f=arabic-language-course","MISSING"
"30","Swahili Language","LANGUAGES","course.html?f=swahili-language-course","MISSING"
"31","Shona Language","LANGUAGES","course.html?f=shona-language-course","MISSING"
"32","Entrepreneurship","BUSINESS","course.html?f=entrepreneurship-course","MISSING"
"33","Fish Farming","AGRICULTURE","course.html?f=fish-farming-course","MISSING"
"34","Fish Fingerling Production","AGRICULTURE","course.html?f=fish-fingerling-production-course","MISSING"
"35","Horse Breeding","AGRICULTURE","course.html?f=horse-breeding-course","MISSING"
"36","Tomato Farming","AGRICULTURE","course.html?f=tomato-farming-course","MISSING"
"37","Potato Farming","AGRICULTURE","course.html?f=potato-farming-course","MISSING"
"38","Onion Farming","AGRICULTURE","course.html?f=onion-farming-course","MISSING"
"39","Cabbage Farming","AGRICULTURE","course.html?f=cabbage-farming-course","MISSING"
"40","Rabbit Farming","AGRICULTURE","course.html?f=rabbit-farming-course","MISSING"
"41","Sheep Farming","AGRICULTURE","course.html?f=sheep-farming-course","MISSING"
"42","Street Food / Take Away","BUSINESS","course.html?f=street-food-take-away-course","MISSING"
"43","Fruit Juice Making","FOOD PROCESSING","course.html?f=fruit-juice-making-course","MISSING"
"44","Spanish Language","LANGUAGES","course.html?f=spanish-language-course","MISSING"
"45","Solar Pump for Dam","ENERGY","course.html?f=solar-pump-for-dam-course","MISSING"
"46","Packaging for Export Markets","BUSINESS","course.html?f=packaging-for-export-markets-course","MISSING"
"47","International Trade Basics","BUSINESS","course.html?f=international-trade-basics-course","MISSING"
"48","Irrigation Systems for Smallholds","AGRICULTURE","course.html?f=irrigation-systems-for-smallholds-course","MISSING"
"49","Export Standards &amp; Certification","BUSINESS","course.html?f=export-standards-amp-certification-course","MISSING"
"50","Farm Market Access &amp; Pricing","BUSINESS","course.html?f=farm-market-access-amp-pricing-course","MISSING"
"51","Business Plan Development","BUSINESS","course.html?f=business-plan-development-course","MISSING"
"52","Agricultural Cooperative Formation","BUSINESS","course.html?f=agricultural-cooperative-formation-course","MISSING"
"53","Cassava Starch Extraction","FOOD PROCESSING","course.html?f=cassava-starch-extraction-course","MISSING"
"54","Cassava Bread &amp; Baking","FOOD PROCESSING","course.html?f=cassava-bread-amp-baking-course","MISSING"
"55","AI Fundamentals","TECHNOLOGY","course.html?f=ai-fundamentals-course","MISSING"
"56","Robotics","TECHNOLOGY","course.html?f=robotics-course","MISSING"
"57","Drone Technology","TECHNOLOGY","course.html?f=drone-technology-course","MISSING"
"58","Supply Chain Management","BUSINESS","course.html?f=supply-chain-management-course","MISSING"
"59","Avocado Farming","AGRICULTURE","course.html?f=avocado-farming-course","MISSING"
"60","Banana Farming","AGRICULTURE","course.html?f=banana-farming-course","MISSING"
"61","Crocodile Farming","AGRICULTURE","course.html?f=crocodile-farming-course","MISSING"
"62","Duck Farming","AGRICULTURE","course.html?f=duck-farming-course","MISSING"
"63","Guinea Fowl &amp; Quail Farming","AGRICULTURE","course.html?f=guinea-fowl-amp-quail-farming-course","MISSING"
"64","Grafting, Budding &amp; Orchards","AGRICULTURE","course.html?f=grafting-budding-amp-orchards-course","MISSING"
"65","Grasscutter Farming","AGRICULTURE","course.html?f=grasscutter-farming-course","MISSING"
"66","Citrus Farming","AGRICULTURE","course.html?f=citrus-farming-course","MISSING"
"67","Tropical Fruit Farming","AGRICULTURE","course.html?f=tropical-fruit-farming-course","MISSING"
"68","Ostrich Farming","AGRICULTURE","course.html?f=ostrich-farming-course","MISSING"
"69","Sorghum &amp; Millet Farming","AGRICULTURE","course.html?f=sorghum-amp-millet-farming-course","MISSING"
"70","Soybean Farming","AGRICULTURE","course.html?f=soybean-farming-course","MISSING"
"71","Sunflower Farming","AGRICULTURE","course.html?f=sunflower-farming-course","MISSING"
"72","Silage &amp; Hay Making","AGRICULTURE","course.html?f=silage-amp-hay-making-course","MISSING"
"73","Sweet Potato Farming","AGRICULTURE","course.html?f=sweet-potato-farming-course","MISSING"
"74","Turkey Farming","AGRICULTURE","course.html?f=turkey-farming-course","MISSING"
"75","Yam Farming","AGRICULTURE","course.html?f=yam-farming-course","MISSING"
"76","Wheat &amp; Barley Farming","AGRICULTURE","course.html?f=wheat-amp-barley-farming-course","MISSING"
"77","Agricultural Record Keeping","BUSINESS","course.html?f=agricultural-record-keeping-course","MISSING"
"78","Project Management","BUSINESS","course.html?f=project-management-course","MISSING"
"79","Farm Labor Management","BUSINESS","course.html?f=farm-labor-management-course","MISSING"
