"Num","Title","Slug","Type","Bytes","Lessons","Status","Issues"
"169","How to Start a Business in Africa","how-to-start-a-business","DB","143770","7","OK",""
"170","Mushroom Seed (Spawn) Production Business","mushroom-seed-production","DB","134071","7","OK",""
"171","Brick Making Business with Bank and Mobile Money Integration","brick-making-business-banking","DB","109951","7","OK",""
"167","Petrol and Diesel Engine Fundamentals: 0 to 12 Litres","engine-fundamentals","DB","617045","138","ISSUES","DUP-LESSONS(33%)"
"168","Convert a Car Engine to an Irrigation Water Pump","engine-to-irrigation-pump","DB","199367","33","ISSUES","DUP-LESSONS(33%)"
"141","Barbering &amp; Men's Grooming Business","barbering-grooming","DB","91590","14","OK",""
"142","Hair Salon and Beauty Business","hair-salon-beauty","DB","91188","14","OK",""
"143","Social Media Influencer Business","social-media-influencer","DB","91465","14","OK",""
"144","DJ and Event Entertainment Business","dj-event-entertainment","DB","90646","14","OK",""
"145","Agricultural Produce Sourcing Business","agricultural-produce-sourcing","DB","91040","14","OK",""
"146","Sourcing and Reselling Business","sourcing-reselling","DB","90957","14","OK",""
"147","Basic First Aid for Business and Community","basic-first-aid","DB","86293","14","OK",""
"148","Massage and Spa Home Visit Business","massage-spa-home","DB","85621","14","OK",""
"149","Errands and Personal Assistant Service","errands-personal-assistant","DB","85452","14","OK",""
"150","Crisis Response for Underserved Communities","crisis-response-underserved","DB","86869","14","OK",""
"151","Home and Office Cleaning Business","home-office-cleaning","DB","86078","14","OK",""
"152","Car Washing and Detailing Business","car-washing-detailing","DB","85912","14","OK",""
"153","Pest Control Business (Basic to Medium)","pest-control-basic","DB","86397","14","OK",""
"154","Event Services Business (Planning and Decor)","event-services","DB","85744","14","OK",""
"155","Recycling and Green Business","recycling-green-business","DB","85848","14","OK",""
"156","Transport and Logistics Business","transport-logistics","DB","85915","14","OK",""
"157","Herbal and Natural Skincare Products","herbal-skincare-products","DB","85377","14","OK",""
"158","Education and Training Business","education-training-business","DB","85560","14","OK",""
"159","Small Kiosk and Tuck Shop Business","small-kiosk-tuck-shop","DB","85423","14","OK",""
"160","Reselling on Social Media Platforms","reselling-social-media","DB","85287","14","OK",""
"161","Tech and Digital Services Business","tech-digital-services","DB","85058","14","OK",""
"162","Second-Hand / Thrift Shop Business (Okrika)","thrift-shop-okrika","DB","84772","14","OK",""
"163","Home-Based Catering for Small Events","home-based-catering","DB","85595","14","OK",""
"140","Maximise 1 Hectare — Vegetables for Profit","maximise-1-hectare-vegetables","DB","160058","0","OK",""
