"Slug","File","Free","Length","Issues"
"cabbage-farming","cabbage-farming-module-6","False","7783","NO-VIDEO"
"baobab-powder-products","baobab-powder-products-course","False","3","TINY(3) + NO-VIDEO"
"biogas-systems","biogas-systems-course","False","3","TINY(3) + NO-VIDEO"
"bottled-water-production","bottled-water-production-course","False","3","TINY(3) + NO-VIDEO"
"breakfast-cereals","breakfast-cereals-course","False","3","TINY(3) + NO-VIDEO"
"charcoal-types-course","charcoal-types-course-course","False","3","TINY(3) + NO-VIDEO"
"electronics-assembly","electronics-assembly-course","False","3","TINY(3) + NO-VIDEO"
"cold-storage","cold-storage-course","False","3","TINY(3) + NO-VIDEO"
"cooking-oil-production","cooking-oil-production-course","False","3","TINY(3) + NO-VIDEO"
"crocodile-farming","crocodile-farming-module-6","False","6518","NO-VIDEO"
"detergents-manufacturing","detergents-manufacturing-course","False","3","TINY(3) + NO-VIDEO"
"drone-technology","drone-technology-course","False","3","TINY(3) + NO-VIDEO"
"duck-farming","duck-farming-module-6","False","6451","NO-VIDEO"
"ev-motorbike-assembly","ev-motorbike-assembly-course","False","3","TINY(3) + NO-VIDEO"
"fertilizer-blending","fertilizer-blending-course","False","3","TINY(3) + NO-VIDEO"
"fish-farming","fish-farming-course","False","3","TINY(3) + NO-VIDEO"
"flour-milling","flour-milling-course","False","3","TINY(3) + NO-VIDEO"
"glass-processing","glass-processing-course","False","3","TINY(3) + NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-6","False","6542","NO-VIDEO"
"ice-cream-production","ice-cream-production-course","False","3","TINY(3) + NO-VIDEO"
"jam-making","jam-making-lessons","False","3483","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-6","False","6490","NO-VIDEO"
"packaging-materials","packaging-materials-course","False","3","TINY(3) + NO-VIDEO"
"paint-manufacturing","paint-manufacturing-course","False","3","TINY(3) + NO-VIDEO"
"rice-milling","rice-milling-course","False","3","TINY(3) + NO-VIDEO"
"robotics-course","robotics-course-course","False","3","TINY(3) + NO-VIDEO"
"roofing-sheets","roofing-sheets-course","False","3","TINY(3) + NO-VIDEO"
"sanitary-pads","sanitary-pads-course","False","3","TINY(3) + NO-VIDEO"
"soap-making","soap-making-module-6","False","8767","NO-VIDEO"
"shona-language","shona-language-course","True","3","TINY(3) + NO-VIDEO"
"tomato-farming","tomato-farming-course","False","49701","NO-VIDEO"
"tomato-farming","tomato-farming-module-1","False","5896","NO-VIDEO"
"tomato-farming","tomato-farming-module-2","False","5503","NO-VIDEO"
"tomato-farming","tomato-farming-module-3","False","6131","NO-VIDEO"
"tomato-farming","tomato-farming-module-4","False","6001","NO-VIDEO"
"tomato-farming","tomato-farming-module-5","False","6343","NO-VIDEO"
"turkey-farming","turkey-farming-module-6","False","6477","NO-VIDEO"
"avocado-farming","avocado-farming-module-6","False","8075","NO-VIDEO"
"spices-course","spices-course-course","False","3","TINY(3) + NO-VIDEO"
"steel-fabrication","steel-fabrication-course","False","3","TINY(3) + NO-VIDEO"
"steer-fattening","steer-fattening-module-9","False","50248","PLACEHOLDER"
"banana-farming","banana-farming-module-6","False","9211","NO-VIDEO"
"broiler-farming","broiler-farming-module-6","False","9669","NO-VIDEO"
"charcoal-types","charcoal-types-course-lessons","False","3634","NO-VIDEO"
"citrus-farming","citrus-farming-module-6","False","10452","NO-VIDEO"
"potato-farming","potato-farming-module-6","False","8341","NO-VIDEO"
"soft-drinks-production","soft-drinks-production-course","False","3","TINY(3) + NO-VIDEO"
"solar-panel-assembly","solar-panel-assembly-course","False","3","TINY(3) + NO-VIDEO"
"sugar-processing","sugar-processing-course","False","3","TINY(3) + NO-VIDEO"
"tomato-farming","tomato-farming-module-6","False","6511","NO-VIDEO"
"agricultural-cooperative-formation","agricultural-cooperative-formation-course","False","13648","NO-VIDEO"
"agricultural-record-keeping","agricultural-record-keeping-course","False","13506","NO-VIDEO"
"layer-farming","layer-farming-module-6","False","11245","NO-VIDEO"
"onion-farming","onion-farming-module-6","False","7725","NO-VIDEO"
"russian-language","russian-language-module-6","True","19457","FARMING CONTENT"
"ai-fundamentals","ai-fundamentals-course","False","16010","NO-VIDEO"
