"Num","Title","Slug","Status"
"169","How to Start a Business in Africa","how-to-start-a-business-in-africa","READY"
"170","Mushroom Seed (Spawn) Production Business","mushroom-seed-spawn-production-business","READY"
"171","Brick Making Business with Bank and Mobile Money Integration","brick-making-business-with-bank-and-mobile-money-integration","READY"
"167","Petrol and Diesel Engine Fundamentals: 0 to 12 Litres","petrol-and-diesel-engine-fundamentals-0-to-12-litres","READY"
"168","Convert a Car Engine to an Irrigation Water Pump","convert-a-car-engine-to-an-irrigation-water-pump","READY"
"141","Barbering &amp; Men's Grooming Business","barbering-amp-men-s-grooming-business","NO-OUTLINE"
"142","Hair Salon and Beauty Business","hair-salon-and-beauty-business","DONE"
"143","Social Media Influencer Business","social-media-influencer-business","DONE"
"144","DJ and Event Entertainment Business","dj-and-event-entertainment-business","DONE"
"145","Agricultural Produce Sourcing Business","agricultural-produce-sourcing-business","DONE"
"146","Sourcing and Reselling Business","sourcing-and-reselling-business","DONE"
"147","Basic First Aid for Business and Community","basic-first-aid-for-business-and-community","DONE"
"148","Massage and Spa Home Visit Business","massage-and-spa-home-visit-business","DONE"
"149","Errands and Personal Assistant Service","errands-and-personal-assistant-service","DONE"
"150","Crisis Response for Underserved Communities","crisis-response-for-underserved-communities","DONE"
"151","Home and Office Cleaning Business","home-and-office-cleaning-business","DONE"
"152","Car Washing and Detailing Business","car-washing-and-detailing-business","DONE"
"153","Pest Control Business (Basic to Medium)","pest-control-business-basic-to-medium","NO-OUTLINE"
"154","Event Services Business (Planning and Decor)","event-services-business-planning-and-decor","NO-OUTLINE"
"155","Recycling and Green Business","recycling-and-green-business","DONE"
"156","Transport and Logistics Business","transport-and-logistics-business","DONE"
"157","Herbal and Natural Skincare Products","herbal-and-natural-skincare-products","DONE"
"158","Education and Training Business","education-and-training-business","DONE"
"159","Small Kiosk and Tuck Shop Business","small-kiosk-and-tuck-shop-business","READY"
"160","Reselling on Social Media Platforms","reselling-on-social-media-platforms","READY"
"161","Tech and Digital Services Business","tech-and-digital-services-business","READY"
"162","Second-Hand / Thrift Shop Business (Okrika)","second-hand-thrift-shop-business-okrika","NO-OUTLINE"
"163","Home-Based Catering for Small Events","home-based-catering-for-small-events","READY"
"140","Maximise 1 Hectare ? Vegetables for Profit","maximise-1-hectare-vegetables-for-profit","DONE"
"165","Snail Farming (Heliciculture) Business","snail-farming-heliciculture-business","READY"
"166","Seedling Nursery for Farmers","seedling-nursery-for-farmers","READY"
"164","Fortified Corn-Soy Porridge for Malnourished Children","fortified-corn-soy-porridge-for-malnourished-children","NO-OUTLINE"
"1","Pig Farming","pig-farming","DONE"
"2","Pig Feed Formulation","pig-feed-formulation","DONE"
"3","Cattle and Steer Feed Formulation","cattle-and-steer-feed-formulation","DONE"
"4","Broiler and Layer Feed Formulation","broiler-and-layer-feed-formulation","DONE"
"5","Dog and Cat Feed Formulation","dog-and-cat-feed-formulation","DONE"
"6","Fish Feed Formulation","fish-feed-formulation","DONE"
"7","Bakery Business","bakery-business","DONE"
"8","Butchery","butchery","DONE"
"9","Steer Fattening","steer-fattening","DONE"
"10","Bee Farming and Honey Production","bee-farming-and-honey-production","DONE"
"11","Mushroom Farming","mushroom-farming","DONE"
"12","Cassava Farming and Processing","cassava-farming-and-processing","DONE"
"13","Dairy Production","dairy-production","DONE"
"14","Cattle Farming","cattle-farming","DONE"
"15","Leather Making and Tanning","leather-making-and-tanning","DONE"
"16","Jam Making","jam-making","DONE"
"17","Spices Course","spices-course","DONE"
"18","Soap Making","soap-making","DONE"
"19","Charcoal Types Course","charcoal-types-course","DONE"
"20","Meat Curing &amp; Charcuterie","meat-curing-amp-charcuterie","NO-OUTLINE"
"21","Aged Beef ? 21 to 101 Day","aged-beef-21-to-101-day","DONE"
"22","Broiler Farming","broiler-farming","DONE"
"23","Layer Farming","layer-farming","DONE"
"24","Food Preservation (10 Methods)","food-preservation-10-methods","NO-OUTLINE"
"25","Goat Farming","goat-farming","DONE"
"26","Solar Installation in the Community","solar-installation-in-the-community","DONE"
"27","Russian Language","russian-language","DONE"
"28","Chinese / Mandarin","chinese-mandarin","DONE"
"29","Arabic Language","arabic-language","DONE"
"30","Swahili Language","swahili-language","DONE"
"44","Spanish Language","spanish-language","NO-OUTLINE"
"31","Shona Language","shona-language","DONE"
"32","Entrepreneurship","entrepreneurship","DONE"
"33","Fish Farming","fish-farming","DONE"
"34","Fish Fingerling Production","fish-fingerling-production","DONE"
"35","Horse Breeding","horse-breeding","DONE"
"36","Tomato Farming","tomato-farming","DONE"
"37","Potato Farming","potato-farming","DONE"
"38","Onion Farming","onion-farming","DONE"
"39","Cabbage Farming","cabbage-farming","DONE"
"40","Rabbit Farming","rabbit-farming","DONE"
"41","Sheep Farming","sheep-farming","DONE"
"42","Street Food / Take Away","street-food-take-away","DONE"
"43","Fruit Juice Making","fruit-juice-making","READY"
"45","Solar Pump for Dam","solar-pump-for-dam","READY"
"46","Packaging for Export Markets","packaging-for-export-markets","READY"
"47","International Trade Basics","international-trade-basics","READY"
"48","Irrigation Systems for Smallholds","irrigation-systems-for-smallholds","READY"
"49","Export Standards &amp; Certification","export-standards-amp-certification","NO-OUTLINE"
"50","Farm Market Access &amp; Pricing","farm-market-access-amp-pricing","NO-OUTLINE"
"51","Business Plan Development","business-plan-development","READY"
"52","Agricultural Cooperative Formation","agricultural-cooperative-formation","READY"
"53","Cassava Starch Extraction","cassava-starch-extraction","READY"
"54","Cassava Bread &amp; Baking","cassava-bread-amp-baking","NO-OUTLINE"
"55","AI Fundamentals","ai-fundamentals","READY"
"56","Robotics","robotics","READY"
"57","Drone Technology","drone-technology","READY"
"58","Supply Chain Management","supply-chain-management","READY"
"59","Avocado Farming","avocado-farming","READY"
"60","Banana Farming","banana-farming","READY"
"61","Crocodile Farming","crocodile-farming","READY"
"62","Duck Farming","duck-farming","READY"
"63","Guinea Fowl &amp; Quail Farming","guinea-fowl-amp-quail-farming","NO-OUTLINE"
"64","Grafting, Budding &amp; Orchards","grafting-budding-amp-orchards","NO-OUTLINE"
"65","Grasscutter Farming","grasscutter-farming","READY"
"66","Citrus Farming","citrus-farming","READY"
"67","Tropical Fruit Farming","tropical-fruit-farming","READY"
"68","Ostrich Farming","ostrich-farming","READY"
"69","Sorghum &amp; Millet Farming","sorghum-amp-millet-farming","NO-OUTLINE"
"70","Soybean Farming","soybean-farming","READY"
"71","Sunflower Farming","sunflower-farming","READY"
"72","Silage &amp; Hay Making","silage-amp-hay-making","NO-OUTLINE"
"73","Sweet Potato Farming","sweet-potato-farming","READY"
"74","Turkey Farming","turkey-farming","READY"
"75","Yam Farming","yam-farming","READY"
"76","Wheat &amp; Barley Farming","wheat-amp-barley-farming","NO-OUTLINE"
"77","Agricultural Record Keeping","agricultural-record-keeping","READY"
"78","Project Management","project-management","READY"
"79","Farm Labor Management","farm-labor-management","READY"
"80","Tomato Paste &amp; Sauce","tomato-paste-amp-sauce","NO-OUTLINE"
"81","Medicinal &amp; Herbal Plant Cultivation","medicinal-amp-herbal-plant-cultivation","NO-OUTLINE"
"82","Herbal Medicine &amp; Nutraceuticals","herbal-medicine-amp-nutraceuticals","NO-OUTLINE"
"83","Cold Storage","cold-storage","READY"
"84","Black Soldier Fly Larvae Farming","black-soldier-fly-larvae-farming","READY"
"85","Brewery: Wine, Gin, Cider &amp; Beer","brewery-wine-gin-cider-amp-beer","NO-OUTLINE"
"86","Car Breakers &amp; Metal Scrapyard","car-breakers-amp-metal-scrapyard","NO-OUTLINE"
"87","Moringa Powder &amp; Supplements","moringa-powder-amp-supplements","NO-OUTLINE"
"88","Baobab Powder Products","baobab-powder-products","READY"
"89","Hibiscus (Zobo/Sobolo) Drink Concentrate","hibiscus-zobo-sobolo-drink-concentrate","READY"
"90","Ginger &amp; Turmeric Shots &amp; Teas","ginger-amp-turmeric-shots-amp-teas","NO-OUTLINE"
"91","Herbal Teas &amp; Infusions","herbal-teas-amp-infusions","NO-OUTLINE"
"92","Organic Fertilizer &amp; Compost","organic-fertilizer-amp-compost","NO-OUTLINE"
"93","Perfume Oils &amp; Incense","perfume-oils-amp-incense","NO-OUTLINE"
"94","Coconut Oil &amp; Shea Oil","coconut-oil-amp-shea-oil","NO-OUTLINE"
