"Slug","File","Free","Length","Issues"
"cabbage-farming","cabbage-farming-module-6","False","7783","NO-VIDEO"
"aged-beef","aged-beef-course","False","3","TINY(3) + NO-VIDEO"
"baobab-powder-products","baobab-powder-products-course","False","3","TINY(3) + NO-VIDEO"
"chinese-language","chinese-language-module-6","True","30449","FARMING CONTENT"
"car-breakers-scrapyard","car-breakers-scrapyard-course","False","3","TINY(3) + NO-VIDEO"
"biogas-systems","biogas-systems-course","False","3","TINY(3) + NO-VIDEO"
"bottled-water-production","bottled-water-production-course","False","3","TINY(3) + NO-VIDEO"
"tech-digital-services","tech-digital-services-course","False","8617","NO-VIDEO"
"breakfast-cereals","breakfast-cereals-course","False","3","TINY(3) + NO-VIDEO"
"brewery-wine-gin-cider-beer","brewery-wine-gin-cider-beer-course","False","3","TINY(3) + NO-VIDEO"
"brick-paver-making","brick-paver-making-course","False","3","TINY(3) + NO-VIDEO"
"briquettes-pellets","briquettes-pellets-course","False","3","TINY(3) + NO-VIDEO"
"bsf-larvae-farming","bsf-larvae-farming-course","False","3","TINY(3) + NO-VIDEO"
"cassava-starch","cassava-starch-course","False","3","TINY(3) + NO-VIDEO"
"fish-processing-smoking-canning","fish-processing-smoking-canning-course","False","3","TINY(3) + NO-VIDEO"
"cement-blocks","cement-blocks-course","False","3","TINY(3) + NO-VIDEO"
"charcoal-types-course","charcoal-types-course-course","False","3","TINY(3) + NO-VIDEO"
"electronics-assembly","electronics-assembly-course","False","3","TINY(3) + NO-VIDEO"
"chocolate-candy","chocolate-candy-course","False","3","TINY(3) + NO-VIDEO"
"kids-drones-junior","kids-drones-junior-module-8","False","11301","NO-VIDEO"
"coconut-oil-shea-oil","coconut-oil-shea-oil-course","False","3","TINY(3) + NO-VIDEO"
"cold-storage","cold-storage-course","False","3","TINY(3) + NO-VIDEO"
"cooking-oil-production","cooking-oil-production-course","False","3","TINY(3) + NO-VIDEO"
"cooperative-formation","cooperative-formation-course","False","3","TINY(3) + NO-VIDEO"
"cosmetics-body-butters","cosmetics-body-butters-course","False","3","TINY(3) + NO-VIDEO"
"crocodile-farming","crocodile-farming-module-6","False","6518","NO-VIDEO"
"detergents-manufacturing","detergents-manufacturing-course","False","3","TINY(3) + NO-VIDEO"
"distillery-spirits","distillery-spirits-course","False","3","TINY(3) + NO-VIDEO"
"dried-fruit-vegetable-processing","dried-fruit-vegetable-processing-course","False","3","TINY(3) + NO-VIDEO"
"drone-technology","drone-technology-course","False","3","TINY(3) + NO-VIDEO"
"duck-farming","duck-farming-module-6","False","6451","NO-VIDEO"
"essential-oils","essential-oils-course","False","3","TINY(3) + NO-VIDEO"
